43,Wildseed Farms,TX,78624,http://www.wildseedfarms.com/,,(800) 848-0078,,
44,The Fragrant Path,NE,68023,http://www.fragrantpathseeds.com/,sales@fragrantpathseeds.com,,,
45,Stock Seed Farms,NE,68407,http://stockseed.com/,prairie@stockseed.com,(402) 867-3771,,
46,Applewood Seed Company,CO,80002,http://www.applewoodseed.com/,sales@applewoodseed.com,(303) 431-7333,,
47,Conservation Seeding and Restoration Inc.,ID,83341,http://csr-inc.com/nursery.htm,info@csr-inc.com,(208) 423-4835,,
48,Granite Seed,CO,80229,http://www.graniteseed.com/,,(888) 577-5650,,
49,Native Seed Foundation,ID,83845,http://www.nativeseedfoundation.com/,info@nativeseedfoundation.com,(208) 267-1477,No milkweed available at this time,
50,Pawnee Buttes Seed Inc.,CO,80632,http://www.pawneebuttesseed.com/,info@pawneebuttesseed.com,(800) 782-5947,No milkweed available at this time,
51,Stevenson Intermountain Seed Inc.,UT,84627,http://stevensonintermountainseed.com/,sales@siseed.com,(435) 283-6639,,
52,Western Native Seed,CO,81222,http://www.westernnativeseed.com/,info@westernnativeseed.com,(719) 942-3935,,
53,Wind River Seed,WY,82432,http://www.windriverseed.com,wrsales@windriverseed.com,(307) 568-3361,,
54,Flagstaff Native Plant & Seed,AZ,86001,http://www.nativeplantandseed.com/,info@nativeplantandseed.com,(928) 773.9406,,
55,Clearwater Seed,WA,99201,http://www.clearwaterseed.com/,,(509) 343-3108,No milkweed available at this time,
56,Derby Canyon Natives,WA,98847,http://derbycanyonnatives.com/,,(509) 548-9404,No milkweed available at this time,
57,Heritage Seedlings Inc.,OR,97317,http://www.heritageseedlings.com,sales@heritageseedlings.com,(503) 585-9835,Wholesale only- $250 minimum per order,
58,Humble Roots Farm & Nursery LLC.,OR,97040,http://www.humblerootsnursery.com/,humbleroots@gorge.net,(503) 449-3694,,
59,Inside Passage,WA,98368,http://www.insidepassageseeds.com/,,,No milkweed available at this time,
60,L&H Seeds Inc.,WA,99326,http://www.lhseeds.com/,info@lhseeds.com,(509) 234-4433,Milkweed availability unknown,
61,Methow Natives Nursery,WA,98862,http://www.methownatives.com/,methownatives@methownet.com,(509) 341-4060,No milkweed available at this time,
62,Pacific Northwest Natives,OR,97321,http://www.pacificnwnatives.com/,pacificnwnatives@comcast.net,(541) 928-8239,No milkweed available at this time,
63,Rainier Seeds,WA,99122,http://www.rainierseeds.com/,rainierseeds@rainierseeds.com,(509) 725-1235,Please note that butterfly milkweed is not native to Washington state,
64,Watershed Garden Works,WA,98632,http://www.watershedgardenworks.com/,,(360) 423-6456,Milkweed availability unknown,
65,Elkhorn Native Plant Nursery,CA,95039,http://www.elkhornnursery.com/,,(831) 763-1207,No milkweed available at this time,
66,Hedgerow Farms,CA,95694,http://www.hedgerowfarms.com/,info@hedgerowfarms.com,(530) 662-6847,$100 minimum order required,
67,Larner Seeds,CA,94924,http://www.larnerseeds.com/,info@larnerseeds.com,(415) 868-9407,,
68,S&S Seeds,CA,93014,http://www.ssseeds.com/,info@ssseeds.com,(805) 684-0436,$150 minimum order required,
69,Seedhunt,CA,95019,http://www.seedhunt.com/,seedhunt@cruzio.com,,,
70,Theodore Payne Nursery Store,CA,91352,http://www.theodorepayne.org,,(818) 768-1802,,
71,Terroir Seeds LLC,AZ,86323,http://www.underwoodgardens.com,,(888) 878-5247,,
72,Butterfly Encounters,CA,,http://www.butterflyencounters.com,,,Please note that not all of these species are native to California,
73,Pacific Coast Seed,CA,94550,http://www.pcseed.com,info@pcseed.com,(925) 373-4417,,
74,Sierra Seed Supply,CA,95947,http://www.sierraseedsupply.com,orders@sierraseedsupply.com,(530) 284-7926,,
75,Cactus Store,AZ,85040,http://www.cactusstore.com,,,,
76,Prairie Nursery,WI,53964,http://www.prairienursery.com,cs@prairienursery.com,(800) 476-9453,,
77,Roundstone Native Seed LLC,KY,42784,http://www.roundstoneseed.com,sales@roundstoneseed.com,(888) 531-2353,,
78,Pheasants Forever,NE,68835,http://www.nebraskaPF.com/store/seed-info,pberthelsen@pheasantsforever.org,(308) 754-5339,,
79,Seed Savers Exchange,IA,52101,http://www.seedsavers.org,,(563) 382-5990,,
80,Toadshade Wildflower Farm,NJ,08825,http://www.toadshade.com,toadshade@toadshade.com,,,
81,Plants of the Southwest,NM,87107,http://www.plantsofthesouthwest.com/,plantsofthesouthwest@hotmail.com,(800) 788-7333,,
82,Beauty Beyond Belief Wildflower Seed,CO,80301,http://www.bbbseed.com/,info@bbbseed.com,(303) 530-1222,,
83,Chesapeake Valley Seed Inc.,MD,20763,http://www.chesapeakevalleyseed.com,jstraughn@chesapeakevalleyseed.com,(301) 725-7333,,
84,Thats-a-Plenty Farm,MA,01060,http://www.thatsaplentyfarm.com/,thatsaplentyfarm@gmail.com,(413) 320-5953,,
85,Millborn Seeds,SD,57006,http://www.millbornseeds.com,info@millbornseeds.com,(888) 498-7333,,
86,Environmental Seed Producers,OR,97321,http://www.wildflowerseed.com,,(541) 928-5868,$50 minimum order required,
